Nombre de la Unidad Económica,Razón social,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Número exterior o kilómetro,Tipo de asentamiento humano,Nombre de asentamiento humano,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Latitud,Longitud,Fecha de incorporación al DENUE
C. SENTURA ZAMORA,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,CARRETERA,ZAMORA - LA BARCA KM 4.3,0,COLONIA,ATECUARO,59720,16,MICHOACÁN DE OCAMPO       ,108,Zamora,1,Zamora de Hidalgo,1126,19.97415504,-102.2943979,2017-03
C. URUAPAN,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,BOULEVARD,Boulevard Industrial,1241,COLONIA,VILLA URUAPAN,60120,16,MICHOACÁN DE OCAMPO       ,102,Uruapan,1,Uruapan,590,19.42228413,-102.0377299,2011-03
C. VIP LAS AMERICAS MORELIA,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AVENIDA,Enrique Ramírez Miguel,1000,COLONIA,LAS AMERICAS,58270,16,MICHOACÁN DE OCAMPO       ,53,Morelia,1,Morelia,999,19.68849138,-101.1590914,2020-04
CINE ARCADIA,,0 a 5 personas,CALLE,EDUARDO RUIZ,671,COLONIA,CENTRO,58000,16,MICHOACÁN DE OCAMPO       ,53,Morelia,1,Morelia,2533,19.70550301,-101.1975484,2010-07
CINE LATINO,,0 a 5 personas,CALLE,16 DE SEPTIEMBRE,160,COLONIA,CENTRO,60950,16,MICHOACÁN DE OCAMPO       ,52,Lázaro Cárdenas,1,Ciudad Lázaro Cárdenas,296,17.96271686,-102.1963028,2010-07
CINE MADERO,,6 a 10 personas,AVENIDA,FRANCISCO I. MADERO SUR,33,MANZANA,ZAMORA DE HIDALGO CENTRO,59600,16,MICHOACÁN DE OCAMPO       ,108,Zamora,1,Zamora de Hidalgo,147,19.98783615,-102.2857851,2010-07
CINE MÁS LOS REYES,EXHIBICION ALTERNATIVA SA DE CV,6 a 10 personas,CALLE,ALLENDE NORTE,20,COLONIA,LOS REYES DE SALGADO CENTRO,60300,16,MICHOACÁN DE OCAMPO       ,75,Los Reyes,1,Los Reyes de Salgado,93,19.59055353,-102.4722939,2016-10
CINEMAS LEO,CINEMAS LEO SA DE CV,11 a 30 personas,PASAJE,PASAJE A LOS CINEMAS LEO,272,COLONIA,POETAS,61507,16,MICHOACÁN DE OCAMPO       ,112,Zitácuaro,1,Heróica Zitácuaro,192,19.43044773,-100.347399,2010-07
CINEMEX ANDADOR MORELIA,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,PEATONAL,PERIFÉRICO PASEO DE LA REPÚBLICA (SECTOR INDEPENDENCIA),853,OTRO (ESPECIFIQUE),INDEPENDENCIA COLONIA LOMAS DE LA HUERTA,58210,16,MICHOACÁN DE OCAMPO       ,53,Morelia,1,Morelia,2586,19.67396395,-101.2132955,2019-11
CINEMEX LA PIEDAD,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,BOULEVARD,LÁZARO CÁRDENAS,3001,COLONIA,LAZARO CARDENAS,59374,16,MICHOACÁN DE OCAMPO       ,69,La Piedad,1,La Piedad de Cabadas,556,20.35516887,-102.0569741,2019-11
CINEMEX LÁZARO CARDENAS,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,PROLONGACION,TULIPANES,548,COLONIA,LOS CUARTOS,60950,16,MICHOACÁN DE OCAMPO       ,52,Lázaro Cárdenas,1,Ciudad Lázaro Cárdenas,1557,17.96933999,-102.2121574,2010-07
CINEMEX MORELIA,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,AVENIDA,PASEO ALTOZANO,1000,COLONIA,DESARROLLO MONTAÑA MONARCA,58350,16,MICHOACÁN DE OCAMPO       ,53,Morelia,1,Morelia,5453,19.67557502,-101.1618568,2013-07
CINEMEX MORELIA II,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,CIRCUITO,PERIFÉRICO PASEO DE LA REPÚBLICA (SECTOR REPÚBLICA),3380,COLONIA,EX HACIENDA DE QUINCEO,58115,16,MICHOACÁN DE OCAMPO       ,53,Morelia,1,Morelia,3052,19.72775009,-101.2215926,2014-12
CINEMEX PASEO ZAMORA,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,AVENIDA,FRANCISCO I. MADERO SUR,2001,COLONIA,RÍO NUEVO,59688,16,MICHOACÁN DE OCAMPO       ,108,Zamora,1,Zamora de Hidalgo,471,19.97370022,-102.2939662,2014-12
CINEPOLIS,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,CALLE,NINGUNO,901,COLONIA,EL MALECON INFONAVIT,59330,16,MICHOACÁN DE OCAMPO       ,69,La Piedad,1,La Piedad de Cabadas,397,20.353104,-102.0247322,2019-11
CINEPOLIS DE MEXICO,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,CALLE,LIBRAMIENTO ORIENTE,283,COLONIA,LA COFRADIA,60126,16,MICHOACÁN DE OCAMPO       ,102,Uruapan,1,Uruapan,459,19.42586357,-102.0252447,2021-05
CINÉPOLIS MORELIA RÍO,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AVENIDA,SOLIDARIDAD,350,COLONIA,FELIX IRETA,58070,16,MICHOACÁN DE OCAMPO       ,53,Morelia,1,Morelia,193A,19.68941475,-101.1860447,2019-04
SALA DE CINE JEUDI 27,,11 a 30 personas,CALLE,VALENTIN GOMEZ FARIAS,265,COLONIA,MAURICIO MARTINEZ SOLORZANO,58000,16,MICHOACÁN DE OCAMPO       ,53,Morelia,1,Morelia,293,19.70549494,-101.196102,2010-07
SERVICIOS DE PERSONAL CINEMAS,CINEPOLIS DE MEXICO SA DE CV,251 y más personas,AVENIDA,CUMBRE DE LAS NACIONES,1200,FRACCIONAMIENTO,TRES MARIAS,58254,16,MICHOACÁN DE OCAMPO       ,53,Morelia,1,Morelia,999,19.68885275,-101.1558128,2014-12
C. CUAUTLA,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,CALLE,ANTIGUA CARRETERA MÉXICOCUAUTLA,6,COLONIA,EMPLEADO POSTAL,62748,17,MORELOS,6,Cuautla,1,Cuautla,743,18.8474362,-98.93648714,2010-07
C. GALERÍAS CUERNAVACA,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,AUTOPISTA,Autopista México-Acapulco,0,COLONIA,RICARDO FLORES MAGÓN,62370,17,MORELOS,7,Cuernavaca,1,Cuernavaca,609,18.93704333,-99.19257971,2017-03
C. GALERIAS D10,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AVENIDA,NINGUNO,1203,COLONIA,LOMAS DE LA SELVA,62270,17,MORELOS,7,Cuernavaca,1,Cuernavaca,609,18.93626689,-99.19363189,2010-07
C. MC EMILIANO ZAPATA,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,CALLE,CARRETERA ZAPATATEZOYUCA,44,COLONIA,CAMPO NUEVO,62766,17,MORELOS,8,Emiliano Zapata,1,Emiliano Zapata,146,18.83187364,-99.18690133,2014-12
C. MC JOJUTLA,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,CARRETERA,Universidad,90,COLONIA,CENTRO,62900,17,MORELOS,12,Jojutla,1,Jojutla,365,18.61771641,-99.19096347,2014-12
C. MC LOS CEDROS JIUTEPEC,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AVENIDA,Eje Norte-Sur,2,COLONIA,CIVAC,62578,17,MORELOS,11,Jiutepec,1,Jiutepec,669,18.91211495,-99.180003,2014-12
C. TEMIXCO,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,BOULEVARD,LIBRAMIENTO A TEMIXCO,145,COLONIA,ACATIPLA CENTRO,62586,17,MORELOS,18,Temixco,51,Campo el Rayo (Acatlipa),034A,18.836349,-99.223633,2018-03
C. VIP CUERNAVACA,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AUTOPISTA,Autopista México-Acapulco,0,COLONIA,RICARDO FLORES MAGÓN,62370,17,MORELOS,7,Cuernavaca,1,Cuernavaca,609,18.93711832,-99.19245026,2020-04
C. VIP PORTAL DE D10,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AVENIDA,DOMINGO DIEZ,1203,COLONIA,LOMAS D ELA SELVA,52270,17,MORELOS,7,Cuernavaca,1,Cuernavaca,005A,18.95481972,-99.238023,2019-11
CINE PREMIER,,0 a 5 personas,AVENIDA,PLAN DE AYALA,999,FRACCIONAMIENTO,CONDOMINIOS  CUAUHNAHUAC,62430,17,MORELOS,7,Cuernavaca,1,Cuernavaca,308,18.92341884,-99.21040256,2010-07
CINE. BATICINE,,0 a 5 personas,PRIVADA,LAS BODEGAS,11,BARRIO,SANTO DOMINGO,62520,17,MORELOS,20,Tepoztlán,1,Tepoztlán,009A,18.98222243,-99.09012666,2019-11
CINEMA LAS PLAZAS,ESTUDIO 1 CINEMAS SA DE CV,11 a 30 personas,CALLE,GUTEMBERG,3,COLONIA,SAN ANTON,62000,17,MORELOS,7,Cuernavaca,1,Cuernavaca,257,18.9222236,-99.23392858,2016-01
CINEMEX CUAUTLA,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,CARRETERA,LA PERA CUAUTLA ,31,COLONIA,TIERRA LARGA,62757,17,MORELOS,6,Cuautla,78,Tierra Larga,118,18.86750286,-98.9516742,2014-12
CINEMEX DIANA,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,CALLE,TULIPÁN HAWAIANO,87,COLONIA,FLORES MAGON,62370,17,MORELOS,7,Cuernavaca,1,Cuernavaca,609,18.93445216,-99.1931536,2010-07
CINEMEX FORUM CUERNAVACA,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,PRIVADA,Nayarit,103,COLONIA,PLAZA FORUM,62370,17,MORELOS,7,Cuernavaca,1,Cuernavaca,126A,18.92740482,-99.19820077,2019-11
CINEMEX JACARANDAS,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,CALLE,RÍO BALSAS,0,COLONIA,ALEGRIA FLORES MAGAN,62370,17,MORELOS,7,Cuernavaca,1,Cuernavaca,223,18.93346528,-99.22789064,2010-07
CINEMEX JACARANDAS,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,BOULEVARD,PASEO CUAUHNÁHUAC,5,COLONIA,ALEGRIA,62370,17,MORELOS,7,Cuernavaca,1,Cuernavaca,126A,18.92057339,-99.19851861,2010-07
CINEMEX PLAZA BUGAMBILIA,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,AVENIDA,RÍO BALSAS,0,COLONIA,VISTA HERMOSA,62290,17,MORELOS,7,Cuernavaca,1,Cuernavaca,223,18.93278552,-99.22869501,2019-11
CINEPOLIS  PLAZA  CEDROS,CINEPOLIS PLAZA CEDROS ,0 a 5 personas,AVENIDA,EJE NORTE-SUR,,COLONIA,CIVAC,62578,17,MORELOS,11,Jiutepec,1,Jiutepec,669,18.91203705,-99.18008352,2014-12
CINEPOLIS AVERANDA,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,CALLE,Autopista México-Acapulco,0,COLONIA,RICARDO FLORES MAGON,62370,17,MORELOS,7,Cuernavaca,1,Cuernavaca,609,18.93704333,-99.19257971,2017-03
CINEPOLIS SPYRAL HELADOS,CINEPOLIS SA DE CV,0 a 5 personas,CARRETERA,CARRETERA ZAPATA-TEZOYUCA,38,RESIDENCIAL,LOS PRADOS,62762,17,MORELOS,8,Emiliano Zapata,1,Emiliano Zapata,146,18.83273709,-99.18644409,2010-07
HELADOS ESPIRAL,CINEPOLIS ,31 a 50 personas,CARRETERA,LOCALIDAD 800,,COLONIA,CENTRO,52580,17,MORELOS,18,Temixco,51,Campo el Rayo (Acatlipa),034A,18.8338975,-99.2255375,2020-11
SALA DE PROYECCION DE CINE PLANET,,0 a 5 personas,AVENIDA,ZARAGOZA,137,COLONIA,CENTRO,62950,17,MORELOS,3,Axochiapan,1,Axochiapan,021A,18.50182647,-98.75561498,2019-11
TAQUILLA DEL CINE CINEPLANET,,0 a 5 personas,AVENIDA,ZARAGOZA,137,COLONIA,CENTRO,62950,17,MORELOS,3,Axochiapan,1,Axochiapan,021A,18.50182647,-98.75561498,2019-11
C. LAGO REAL,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AVENIDA,TEPIC,430,COLONIA,VALLE DORADO,63732,18,NAYARIT,20,Bahía de Banderas,53,Mezcales,906,20.7213236,-105.278855,2014-12
C. MC PLAZA CANTERA,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AVENIDA,AGUAMILPA,1060,COLONIA,VISTAS DE LA CANTERA,63173,18,NAYARIT,17,Tepic,1,Tepic,2131,21.48908529,-104.8325105,2016-01
